time_signature; energy; danceability; tempo; duration; key; liveness; speechiness; instrumentalness; loudness; acousticness; valence; song_hotttnesss;song_name; artist_name; genre
4 ; 0.313212 ; 0.452838 ; 85.996 ; 252.25333 ; 11 ; 0.148278 ; 0.039638 ; 0.891819 ; -15.167 ; 0.711129 ; 0.309625 ; 0.252528 ; Symphony No. 10 in E Minor, Op. 93: II. Allegro ; Dmitri Shostakovich ; classical
3 ; 0.179012 ; 0.146091 ; 64.988 ; 616.13333 ; 7 ; 0.078427 ; 0.038795 ; 0.890309 ; -18.259 ; 0.957646 ; 0.035444 ; 0.070213 ; Symphony No. 5, Op. 50, FS 97: II. I - Adagio ; Carl Nielsen ; classical
3 ; 0.052711 ; 0.467387 ; 185.658 ; 170.85161 ; 7 ; 0.11216 ; 0.060327 ; 0.931092 ; -19.529 ; 0.993273 ; 0.33653 ; 0.0 ; Blue Danube Waltz Medley ( Piano ) (feat. Falk Richter) ; Johann Strauss ; classical
4 ; 0.272164 ; 0.455289 ; 123.192 ; 559.28 ; 1 ; 0.07585 ; 0.093083 ; 0.409403 ; -16.032 ; 0.869741 ; 0.107688 ; 0.152375 ; The Sorcerer's Apprentice ; Leopold Stokowski ; classical
5 ; 0.132438 ; 0.244539 ; 110.767 ; 370.50667 ; 4 ; 0.13642 ; 0.042968 ; 0.011225 ; -19.745 ; 0.944901 ; 0.035444 ; 0.114513 ; Cavalleria rusticana: "Voi lo sapete, o mama" (Romanza) ; Pietro Mascagni ; classical
5 ; 0.069008 ; 0.325568 ; 124.331 ; 320.77333 ; 9 ; 0.167892 ; 0.043417 ; 0.004971 ; -17.13 ; 0.975952 ; 0.104561 ; 0.208228 ; Lamento della ninfa ; Claudio Monteverdi ; classical
4 ; 0.465927 ; 0.244865 ; 44.028 ; 111.66621 ; 0 ; 0.29158 ; 0.034772 ; 0.704065 ; -14.224 ; 0.908625 ; 0.174658 ; 0.140427 ; Von den Freuden-und Leidenschaften - ; Richard Strauss ; classical
4 ; 0.222475 ; 0.614986 ; 82.318 ; 280.63347 ; 2 ; 0.832892 ; 0.103856 ; 0.786516 ; -16.657 ; 0.966719 ; 0.241414 ; 0.120691 ; Octet for Wind Instruments: I. Sinfonia ; Igor Stravinsky ; classical
3 ; 0.148668 ; 0.24524 ; 98.624 ; 787.06358 ; 4 ; 0.149737 ; 0.039081 ; 0.307096 ; -17.039 ; 0.948768 ; 0.112897 ; 0.184726 ; Violin Concerto in E Minor, Op. 64: I. Allegro molto appassionato ; Felix Mendelssohn ; classical
4 ; 0.0742 ; 0.364268 ; 143.203 ; 474.0 ; 4 ; 0.11522 ; 0.058598 ; 0.252514 ; -22.148 ; 0.896325 ; 0.186601 ; 0.163295 ; La Gioconda: Dance of the Hours ; Amilcare Ponchielli ; classical
4 ; 0.494159 ; 0.287429 ; 113.148 ; 427.24961 ; 0 ; 0.238496 ; 0.038061 ; 0.960455 ; -8.222 ; 0.939583 ; 0.338053 ; 0.190243 ; Orb and Sceptre ; William Walton ; classical
4 ; 0.176097 ; 0.220713 ; 91.922 ; 189.54667 ; 8 ; 0.094128 ; 0.038987 ; 0.011604 ; -14.853 ; 0.9613 ; 0.06476 ; 0.197551 ; The Firebird Suite: Berceuse ; Igor Stravinsky ; classical
3 ; 0.033779 ; 0.431442 ; 139.702 ; 305.73333 ; 0 ; 0.137949 ; 0.054351 ; 0.244432 ; -26.856 ; 0.87201 ; 0.329996 ; 0.212964 ; Symphony No. 5 in D Minor, Op. 47: II. Allegretto ; Dmitri Shostakovich ; classical
4 ; 0.355302 ; 0.471634 ; 140.066 ; 136.36 ; 4 ; 0.131251 ; 0.035231 ; 0.939124 ; -13.161 ; 0.83061 ; 0.818984 ; 0.124365 ; Concerto Grosso in F Major, Op. 6, No. 12: II. Allegro ; Arcangelo Corelli ; classical
3 ; 0.003779 ; 0.247826 ; 66.682 ; 351.0 ; 10 ; 0.077616 ; 0.046802 ; 0.900456 ; -35.973 ; 0.991661 ; 0.045989 ; 0.281637 ; Suite bergamasque: III. Clair de lune ; Claude Debussy ; classical
4 ; 0.154471 ; 0.388602 ; 126.536 ; 162.93288 ; 2 ; 0.147239 ; 0.033775 ; 0.75321 ; -14.917 ; 0.974386 ; 0.291776 ; 0.28542 ; O Fortuna ; Carl Orff ; classical
4 ; 0.123481 ; 0.513076 ; 123.014 ; 247.93333 ; 7 ; 0.097146 ; 0.04499 ; 9e-06 ; -17.793 ; 0.981862 ; 0.18122 ; 0.123653 ; La maja de Goya ; Enrique Granados ; classical
4 ; 0.030254 ; 0.448393 ; 118.721 ; 186.85333 ; 4 ; 0.223008 ; 0.037537 ; 0.123912 ; -23.025 ; 0.926143 ; 0.25903 ; 0.194578 ; TANGO ; Igor Stravinsky ; classical
3 ; 0.030475 ; 0.114936 ; 67.459 ; 305.42667 ; 7 ; 0.084229 ; 0.050383 ; 0.243329 ; -30.687 ; 0.992586 ; 0.037311 ; 0.063842 ; Miserere - Ed. Willcocks ; Gregorio Allegri ; classical
4 ; 0.077276 ; 0.066605 ; 62.461 ; 685.93333 ; 9 ; 0.16504 ; 0.040586 ; 0.897333 ; -20.848 ; 0.937582 ; 0.031834 ; 0.119809 ; A Song Of Summer ; Frederick Delius ; classical
