time_signature  energy    danceability  tempo    duration   key  liveness  speechiness  instrumentalness loudness name 			    		   type
3 		0.154617  0.344157      93.377   384.0      9    0.092268  0.036099     0.870344 	-20.222   "Un bal"			           classical
4 		0.069336  0.265226      75.798   192.2      1    0.127653  0.035586     0.813335 	-18.295   "Appalachian Spring: Doppio movimento"   classical
1 		0.61907   0.369037      121.46   111.77796  1    0.135993  0.038246     0.28845 	-12.051   "Minute Waltz"		           classical
4 		0.20176   0.583296      108.53   326.53333  10   0.100816  0.033598     3.3e-05 	-14.378   "Gute Nacht"			           classical
5 		0.239678  0.472527 	70.064   208.2 	    1    0.144058  0.040513     0.884932 	-18.627   "Hungarian Dance No 6"     		   classical
3 		0.033447  0.228876 	116.927  1185.69751 4    0.109328  0.04713      0.765868 	-27.541   "Suite for String Orchestra" 		   classical
4 		0.227481  0.237672 	129.392  233.6      2    0.083694  0.035981     0.832468 	-15.534   "The Nutcracker - Waltz Of The Flowers"  classical
4 		0.23372   0.167639 	77.899   978.93832  2    0.378328  0.040623     0.706363 	-14.253   "Danses Polovtsiennes" 		   classical
4 		0.176097  0.220713 	91.922   189.54667  8    0.094128  0.038987     0.011604 	-14.853   "The Firebird Suite: Berceuse" 	   classical
4 		0.765232  0.377136 	131.574  263.48     2    0.098346  0.035591     0.906343 	-7.093    "In the Hall of the Mountain King" 	   classical
4 		0.250074  0.295113 	142.626  403.0 	    5 	 0.16982   0.044932 	0.927318 	-19.463   "The Bartered Bride - Overture"  	   classical
4 		0.194093  0.189869 	79.435   445.94667  2 	 0.104764  0.040836	0.862175 	-16.765   "First Essay for Orchestra, Op. 12"      classical
4 		0.708466  0.65426 	108.498  327.49669  2 	 0.073026  0.048756 	0.014886 	-11.372   "Bolero" 				   classical
4 		0.492925  0.530373 	130.855  174.46667  0 	 0.060659  0.050539 	0.468916 	-15.57    "Rossini" 				   classical
4 		0.614259  0.438927 	94.646   306.71955  3 	 0.189499  0.092709 	0.680436 	-9.133    "Overture to La Gazza Ladra" 		   classical
4 		0.070578  0.314416 	114.128  619.31955  2 	 0.086852  0.04025 	0.78891 	-19.194   "Invitation To The Dance" 		   classical
4 		0.064248  0.302291 	107.504  143.56853  1 	 0.108148  0.033617 	0.87941 	-23.328   "Nocturne No. 8 in D flat major, Op. 84" classical
4 		0.003804  0.504776 	94.286   297.82667  2 	 0.111528  0.061556 	0.880731 	-28.383   "Nocturnes, Op. 15: No. 3 in G Minor"    classical
3 		0.050876  0.110787 	89.606   365.75955  4 	 0.090776  0.041309 	0.823725 	-25.396   "Vocalise, Op. 34 No. 14" 		   classical
3 		0.595668  0.302832 	109.963  665.4381   11 	 0.171846  0.035775 	0.526323 	-7.281    "Uti var hage" 			   classical
4 		0.052875  0.413106 	82.839   200.71288  4 	 0.061182  0.037747 	0.907349 	-22.058   "Salut d'Amour" 			   classical
